Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
73,Rachel Daly,DF,eng England,30-235,1991,5,5,402,4.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7fa35ec9
74,Jenny Danielsson,MF,fi Finland,27-333,1994,2,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c0fefbbb
75,Tine De Caigny,MFFW,be Belgium,25-050,1997,4,4,360,4.0,1,0,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,Matches,cf531f9d
76,Laura De Neve,DF,be Belgium,27-293,1994,3,3,249,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6b16d156
77,Féli Delacauw,MF,be Belgium,20-116,2002,2,0,57,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4e3f72d2
78,Laura Deloose,DF,be Belgium,29-041,1993,3,1,123,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8a91dbbe
79,Stefanie van der Gragt,DF,nl Netherlands,29-347,1992,4,4,390,4.3,1,0,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23,Matches,b774c84b
80,Elena Dhont,FW,be Belgium,24-124,1998,4,3,236,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,47df02ff
81,Lucia Di Guglielmo,DF,it Italy,25-033,1997,3,2,145,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,198aa38a
82,Kadidiatou Diani,FW,fr France,27-119,1995,5,5,379,4.2,1,1,1,0,0,0,0,0.24,0.24,0.47,0.24,0.47,Matches,facfa8cb
83,Danielle van de Donk,MFFW,nl Netherlands,30-358,1991,4,4,327,3.6,1,0,1,0,0,0,0,0.28,0.00,0.28,0.28,0.28,Matches,6876815f
84,Sara Doorsoun,DF,de Germany,30-254,1991,2,1,100,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cdb82d35
85,Barbara Dunst,MF,at Austria,24-307,1997,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ef22977e
86,Mary Earps,GK,eng England,29-144,1993,5,5,480,5.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ca2eabf4
87,Damaris Egurrola,MF,nl Netherlands,22-337,1999,3,1,75,0.8,1,0,1,0,0,1,0,1.20,0.00,1.20,1.20,1.20,Matches,69b76db4
88,Amalie Eikeland,MF,no Norway,26-337,1995,3,2,143,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e9c71e6d
89,Telma Encarnacao,FW,pt Portugal,20-291,2001,2,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e3597733
90,Adelina Engman,MF,fi Finland,27-291,1994,2,2,115,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1cf9eca5
91,Magdalena Eriksson,DF,se Sweden,28-324,1993,5,5,414,4.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,bb454bb1
92,Hannah Eurlings,FW,be Belgium,19-209,2003,3,1,91,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,131dfeca
93,Nicky Evrard,GK,be Belgium,27-064,1995,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b609ead2
94,Andreia Faria,MF,pt Portugal,22-101,2000,1,0,34,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f4837412
95,Laura Feiersinger,MF,at Austria,29-115,1993,4,3,311,3.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1b4b3721
96,Svenja Folmli,DF,ch Switzerland,19-344,2002,1,0,33,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cbb37685
97,Sanni Franssi,FW,fi Finland,27-132,1995,2,2,174,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eb7a2b29
98,Laura Freigang,FW,de Germany,24-178,1998,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8898987d
99,Merle Frohms,GK,de Germany,27-182,1995,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,948d8bd2
100,Rachel Furness,MF,nir Northern Ireland,34-040,1988,3,3,231,2.6,0,1,0,0,0,0,0,0.00,0.39,0.39,0.00,0.39,Matches,30260df0
101,Aurora Galli,MF,it Italy,25-228,1996,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cc516d17
102,Sara Gama,DF,it Italy,33-124,1989,2,2,147,1.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,6f6f02d4
103,Lucia Garcia,FW,es Spain,24-015,1998,3,3,191,2.1,1,0,1,0,0,0,0,0.47,0.00,0.47,0.47,0.47,Matches,50e52d91
104,Sheila Garcia,MFFW,es Spain,25-136,1997,4,2,188,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,56d96411
105,Mille Gejl Jensen,MF,dk Denmark,22-309,1999,1,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d9f0c19a
106,Marina Georgieva,DF,at Austria,25-107,1997,4,1,152,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7f22b5c7
107,Grace Geyoro,MF,fr France,25-027,1997,5,4,359,4.0,3,0,3,0,0,0,0,0.75,0.00,0.75,0.75,0.75,Matches,80fc50e5
108,Valentina Giacinti,FW,it Italy,28-208,1994,3,1,140,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,526eef12
109,Cristiana Girelli,FW,it Italy,32-097,1990,3,2,175,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5f35c316
110,Manuela Giugliano,MF,it Italy,24-345,1997,2,2,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,337adc0d
111,Laura Giuliani,GK,it Italy,29-054,1993,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,370624db
112,Hanna Glas,DFMF,se Sweden,29-104,1993,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fc33d14d
113,Diana Gomes,DF,pt Portugal,24-003,1998,3,3,270,3.0,1,0,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33,Matches,e63f5928
114,Esther Gonzalez,FW,es Spain,29-233,1992,3,2,199,2.2,1,0,1,0,0,0,0,0.45,0.00,0.45,0.45,0.45,Matches,8f146dff
115,Caroline Graham Hansen,MF,no Norway,27-161,1995,3,3,254,2.8,1,0,0,1,1,0,0,0.35,0.00,0.35,0.00,0.00,Matches,e891b7ae
116,Alex Greenwood,DF,eng England,28-325,1993,4,0,122,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d935ee5a
117,Jackie Groenen,MF,nl Netherlands,27-224,1994,3,3,300,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6698c9f0
118,Irene Guerrero,MF,es Spain,25-320,1996,2,1,67,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b9002fb4
119,Patricia Guijarro,MF,es Spain,24-073,1998,4,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b2ea5a14
120,Hallbera Guony Gisladottir,DF,is Iceland,35-318,1986,3,3,236,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e2128260
121,Giulia Gwinn,DF,de Germany,23-027,1999,5,5,405,4.5,0,1,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,Matches,36cccedb
122,Tuva Hansen,DF,no Norway,24-359,1997,3,2,206,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3ec11922
123,Pernille Harder,FW,dk Denmark,29-256,1992,3,3,266,3.0,1,0,1,0,0,0,0,0.34,0.00,0.34,0.34,0.34,Matches,363b99a4
124,Sophie Haug,MF,no Norway,23-055,1999,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b8ba46ef
125,Ada Hegerberg,FW,no Norway,27-019,1995,3,3,253,2.8,0,1,0,0,0,0,0,0.00,0.36,0.36,0.00,0.36,Matches,3a6b01d9
126,Marina Hegering,DF,de Germany,32-103,1990,5,5,395,4.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,df1695c1
127,Lauren Hemp,MFFW,eng England,21-356,2000,5,5,424,4.7,1,1,1,0,0,0,0,0.21,0.21,0.42,0.21,0.42,Matches,d979e267
128,Kathrin Hendrich,DF,de Germany,30-114,1992,5,4,405,4.5,0,1,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,Matches,e5b01fee
129,Nora Heroum,DF,fi Finland,28-009,1994,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a28c8e7c
130,Julia Hickelsberger-Fuller,MF,at Austria,22-362,1999,4,3,246,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4e76a319
131,Marie-Therese Hobinger,MF,at Austria,21-028,2001,3,1,59,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,153d4f38
132,Rebecca Holloway,MF,nir Northern Ireland,26-338,1995,3,2,181,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c50ff385
133,Karen Holmgaard,MF,dk Denmark,23-182,1999,2,1,117,1.3,0,1,0,0,0,0,0,0.00,0.77,0.77,0.00,0.77,Matches,c75c305a
